screen_name,url,verified,location,description,followers_count,friends_count,created_at,favourites_count,statuses_count
denise8934,https://t.co/waIHozhZAV,False,"Coral Springs, FL",Meep? jus ask me anything..,57,119,2009-03-26 21:25:27,54,236
carter6007tm,,False,,,0,78,2018-03-22 17:16:22,0,0
Tynoe585,https://t.co/nAUDTADQJ6,False,"Midlands, Zimbabwe",S.A.V.A.G.E,51,118,2016-04-30 11:23:24,45,15
zachrabbit16,,False,,I love my Jens,183,165,2013-03-22 00:39:58,725,592
FargloO,,False,,,0,71,2018-03-22 17:15:47,0,0
RobertAgbahia1,,False,,,0,37,2018-03-22 17:11:52,0,0
ChristakisLoiz1,,False,,,0,3,2018-03-22 16:49:51,0,0
petergeorgy1986,,False,,,0,63,2018-03-22 17:13:12,0,0
AmeyaKu24002634,,False,,,0,79,2018-03-22 17:15:05,0,0
Viral_Parekh09,,False,"Mumbai, India",Exploring,10,106,2017-09-07 16:15:18,44,10
coolj2604,,False,,,0,123,2018-03-22 17:13:11,0,0
Slippy1998,,False,,,25,245,2018-03-17 08:07:19,6,0
Wendy_AAV,,False,,Ingeniero,11,45,2013-01-17 17:20:23,7,14
BaliramTambile,,False,,,0,129,2018-03-22 17:13:55,0,0
Tim15201521,,False,,,0,22,2017-05-14 14:32:48,5,1
heather61071549,,False,,,0,1,2018-03-22 17:15:41,0,0
Domingo36708714,,False,,,0,39,2018-03-22 17:14:44,0,0
qdfceqpjjty,,False,,,0,69,2018-03-22 17:15:07,0,0
ashley84697275,,False,,,1,26,2018-01-07 21:33:59,0,0
J1lasT5MvL4hcgw,,False,,,0,41,2018-03-22 17:15:53,0,0
KurguzovaA,,False,,Ukraine/ UK,151,315,2012-07-25 15:29:02,9809,8694
tbo1lNbZDZaftTr,,False,,,0,50,2018-03-22 17:16:16,0,0
selenavillas,,False,,sc|| villa_selena ||,69,108,2017-03-29 03:03:16,253,111
Andrulox,,False,,,9,14,2015-03-05 05:41:33,0,1
lawrenced378,,False,New Westminster ,,25,52,2014-08-12 04:13:40,1,0
FacundoIrigoy,,False,,,0,99,2018-03-22 17:15:21,0,0
bird36712995,,False,,,0,15,2018-03-22 17:15:06,0,0
lapaglia8465nz,,False,,,0,35,2018-03-22 17:15:55,0,0
AustinSartorius,,False,,,433,399,2011-08-02 03:47:43,1704,7293
sandeep_s_007,,False,"Ghaziabad, India",,0,22,2010-11-16 11:17:06,0,0
CheickO38227375,,False,,,0,106,2018-03-22 17:11:10,0,0
WalleniusTom,,False,,,0,4,2014-08-13 01:58:26,0,1
xiX6nH4ejggjGIo,,False,,,0,122,2018-03-22 17:08:06,0,0
Victori95771076,,False,,,0,29,2018-03-22 17:16:49,0,0
yenish666,,False,,,2,40,2018-03-22 08:17:38,0,0
Giedriu66006679,,False,,,0,23,2018-03-22 17:10:57,0,0
vishwatrivedi02,,False,,Best friends,0,17,2016-10-19 20:57:35,0,1
John7952,,False,Addis Ababa,,33,154,2011-12-17 11:00:45,26,29
AngelaWashell,,False,,,1,10,2012-09-09 04:33:12,0,0
copiapina2027,,False,,,7,124,2017-11-26 11:55:35,2,3
KDotmulla,,False,,,0,113,2018-03-22 17:14:18,0,0
Jaafar109,,False,,,0,66,2018-03-15 14:43:22,0,0
Schwabbelsabber,,False,,,3,41,2013-12-16 19:31:41,6,2
jaunitaclasen11,,False,,,0,72,2018-03-22 17:14:24,0,0
Lucazcdn,,False,brasil,,97,229,2011-03-10 23:18:02,4495,232
jabessa_jirata,,False,,,0,7,2018-03-06 16:56:48,0,0
AhmedKaeid,,False,,,0,60,2018-03-22 17:14:17,0,0
Deepak_Guntuku,,False,"Jodhpur, India",IIT Jodhpur,5,12,2015-07-30 09:41:41,0,0
Skurpe,,False,Sweden,,22,88,2011-04-05 16:05:43,23,0
3XzWUykDMs5MFZC,,False,,,1,50,2018-03-22 17:16:16,0,0
jozzlynnn,,False,United States,,3,4,2018-03-22 17:01:08,0,0
CoralRidgeYC,http://t.co/xOKXGjcjYG,False,"Fort Lauderdale, FL","Established 70 years ago in 1947, Coral Ridge Yacht Club is where tradition & old world elegance merge with fun, family and friendships. #LifeIsBetterOnTheWater",255,398,2013-05-29 19:14:06,140,1554
Crypto_Prophecy,,False,,Foresee the future #Crypto #CrystalBall #Easy #Charts #Prices #Gains,35,121,2017-09-16 00:53:15,29,49
teddikurawa,,False,,,0,36,2018-03-22 17:14:00,0,0
SaketNarayan5,,False,,,0,118,2018-03-22 17:16:48,0,0
ArmchairLiberal,,False,,,0,12,2012-03-13 14:58:51,1,38
UwozcAqrOQrlShG,,False,,,0,171,2018-03-22 16:22:24,0,0
Lane74973521,,False,,,6,57,2018-03-21 02:25:40,18,4
intgtsupfdup121,,False,,,0,37,2018-03-22 17:14:32,0,0
JeffersonDiep,,False,,,0,19,2011-06-21 06:25:46,0,0
9020Hamidreza,,False,,,0,138,2018-03-22 17:04:20,0,0
tpa4b5IyOOlcrZd,,False,,,0,28,2018-03-22 17:08:19,0,0
Chrisilunganda2,,False,,,2,223,2018-03-22 16:51:40,1,2
sqhqaoxv5957dr,,False,,,0,84,2018-03-22 17:15:15,0,0
martin41anders1,,False,,,0,39,2016-04-29 15:19:26,0,1
DonmezAta,,False,,,22,115,2012-04-26 15:10:25,12,2
DeEstelito,,False,,,0,106,2018-03-22 17:15:41,0,0
MonicaLi95,,False,,,8,58,2012-08-02 03:32:00,0,12
Sizwe_Ntengo,,False,"Port Shepstone, South Africa",International Entertainment,4,68,2018-03-21 15:08:54,32,2
grummoyheid,,False,United Kingdom,,1,109,2017-01-06 21:56:33,2,10
sam_ray69,,False,,,97,249,2012-09-11 17:16:25,14,278
marta_cortada,,False,,,3,101,2017-06-27 09:33:15,0,0
hasan1786,,False,,,63,473,2010-12-04 08:00:05,25,155
p6PkERjR61Ex55W,,False,,,37,210,2017-12-10 20:00:39,0,0
Anto06930892,,False,,,0,62,2018-03-22 17:14:34,0,0
LeeLindsay74,,False,"Houston, TX","Tennis, LSU Football, Grace's Daddy, Lauren's Husband, Oil & Gas @ Endress + Hauser",8,6,2012-09-10 18:46:17,4,3
ParthSa59814581,,False,,,0,130,2018-03-22 17:14:56,0,0
joleenm47738196,,False,,,0,50,2018-03-22 17:16:06,0,0
kaynicole22,,False,,I'm to adorkable to put into words,34,104,2011-11-15 17:34:54,79,278
michael_exline,,False,,,0,50,2018-03-22 17:15:14,0,0
toddstuck72,,False,"Fairmont, WV",I am the Chief!   All hail the CHIEF.,5,8,2012-08-07 11:30:25,322,26
johnbaggaley01,,False,"Stoke-on-Trent, England",,17,102,2017-06-24 11:27:42,0,1
Ric_Noronha,http://t.co/r3m20vLULF,False,"Amsterdam, The Netherlands","Sociologist. Communication Sciences. Digital Marketing.  Sports and Political Journalism lover. 
Wanderlust Daddy of Matilde.",375,509,2009-11-05 20:41:37,54,1361
JohnshoyTanner,,False,,.,290,492,2012-05-20 05:24:18,354,501
Maya98244732,,False,,,0,1,2018-03-22 17:16:00,0,0
Ekaris,,False,Venezuela,,130,315,2009-10-07 02:05:56,190,1174
bosniabahgaul,,False,,,1,77,2018-02-19 16:20:46,5,0
ChuloNegrito,,False,,,0,80,2018-03-22 17:10:56,0,0
GondolaApodaca,,False,,,0,90,2018-03-22 17:15:41,0,0
observpolitic,,False,,,0,3,2018-03-22 17:12:54,0,0
manglinlei,,False,,,1,95,2018-03-22 17:15:28,0,0
627CHERRY,http://t.co/aARAgwW5Vq,False,singapore,,24,62,2012-01-04 15:04:56,2,964
SCORPION_ECM,,False,"London, Ontario",,1,79,2017-09-01 19:09:41,6,13
vineetkr_k,,False,"New Delhi, India","Learning Stock Market, Marketing Manager with MNC.",114,192,2017-09-21 07:55:50,280,323
Sumanamus,,False,,,3,53,2009-07-07 13:50:31,1,0
belini,,False,"-23.618912,-46.552118",,337,748,2009-03-06 21:22:32,209,24968
Evenoel19,,False,,,1,85,2018-03-22 17:15:27,0,0
RobayetUllah,,False,,Do or Die,1,24,2016-11-22 10:00:09,0,0
AbSerrano2,,False,"Boston, MA",,2,19,2017-05-30 04:25:42,0,0
MadhavanBalaji,,False,Anna Nagar West Extension,,71,645,2012-08-20 09:33:22,4055,17
ShineThuRain1,,False,,,0,119,2018-03-22 17:14:51,0,0
Silasmatson,,False,,ECU '20,67,112,2012-04-08 20:36:24,12,116
Fabiana37331292,,False,,,0,82,2018-03-22 17:11:58,0,0
KaushalDuttSha3,,False,,,1,24,2018-03-19 00:12:58,1,0
shokialnagri121,,False,,,0,72,2018-03-22 17:07:17,0,0
warrena73117522,,False,,,0,27,2018-03-22 17:12:52,0,0
Michael86846135,,False,,,0,90,2018-03-22 17:14:39,0,0
patrickjohnbush,,False,,,3,26,2012-03-26 15:33:44,5,3
Darren22916599,,False,,,1,95,2018-03-22 16:44:11,3,0
Michaeleraines,,False,"Oliver Springs, TN",,9,195,2015-01-26 01:01:39,98,168
ggehwerdna,,False,,,1,22,2015-05-10 02:24:32,6,1
makatipeter,,False,,,0,80,2018-01-11 04:34:37,0,2
Kwalden97,,False,,"Dont worry, be happy",470,249,2011-10-08 00:43:36,1039,19284
Shidu57552682,,False,,,0,26,2018-03-22 17:07:29,3,0
Marky0007Jackso,,False,"Maryland, USA",Civil Engineer,15,219,2014-06-09 16:43:41,29,15
FGvkGkok5t52hnI,,False,,,5,142,2017-01-20 05:04:19,0,0
BrandonMahlste1,,False,,,58,141,2014-03-28 07:26:23,26,11
ElliNataly,,False,,Drivers Ed. period 7,0,41,2018-03-22 17:15:27,0,0
KevinOmarNieve3,,False,,,1,41,2018-03-22 17:13:55,0,0
grey_goose87,,False,"Stuttgart, Germany",,52,13,2009-03-11 19:46:38,3,1
